Indicator,Energy_Type,Technology,Unit,year,value
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2000,10160112.2028458
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2000,148037.209
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2000,2674979.242
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2000,1313.567
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2000,30949.117000000002
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2000,2331563.1176
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2000,29610.792999999998
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2000,712837.271
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2000,1216.618
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2000,16964.075
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2001,10280819.6238458
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2001,148103.314
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2001,2617310.479
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2001,1681.054
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2001,37743.762
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2001,2357177.1366
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2001,32822.419
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2001,726073.829
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2001,1467.771
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2001,23959.306
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2002,10777565.8678458
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2002,161825.786
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2002,2686054.869
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2002,1954.98
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2002,52429.72
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2002,2478260.1615999998
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2002,34024.519
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2002,737585.077
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2002,1814.082
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2002,30730.644
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2003,11368571.5678458
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2003,174019.502
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2003,2687482.471
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2003,2377.149
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2003,63395.873
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2003,2600484.6946
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2003,36606.128
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2003,758691.857
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2003,2341.318
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2003,38670.437
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2004,11889228.2978458
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2004,189673.391
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2004,2868479.136
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2004,3074.1040000000003
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2004,84104.952
Electricity Installed Capacity,Total Non-Renewable,Fossil fuels,Megawatt (MW),2004,2680615.9886
Electricity Installed Capacity,Total Renewable,Bioenergy,Megawatt (MW),2004,39368.089
Electricity Installed Capacity,Total Renewable,Hydropower (excl. Pumped Storage),Megawatt (MW),2004,779281.525
Electricity Installed Capacity,Total Renewable,Solar energy,Megawatt (MW),2004,3428.11
Electricity Installed Capacity,Total Renewable,Wind energy,Megawatt (MW),2004,47671.913
Electricity Generation,Total Non-Renewable,Fossil fuels,Gigawatt-hours (GWh),2005,12410744.8867518
Electricity Generation,Total Renewable,Bioenergy,Gigawatt-hours (GWh),2005,210893.728
Electricity Generation,Total Renewable,Hydropower (excl. Pumped Storage),Gigawatt-hours (GWh),2005,2991654.1
Electricity Generation,Total Renewable,Solar energy,Gigawatt-hours (GWh),2005,4394.110000000001
Electricity Generation,Total Renewable,Wind energy,Gigawatt-hours (GWh),2005,103234.805
