ISO3,Country,Unit,year,value
CHN,"China, P.R.: Mainland",Megawatt (MW),2023,1346230.0
USA,United States,Megawatt (MW),2023,719568.0
IND,India,Megawatt (MW),2023,311922.92
RUS,Russian Federation,Megawatt (MW),2023,185801.0
JPN,Japan,Megawatt (MW),2023,184843.0
KOR,"Korea, Rep. of",Megawatt (MW),2023,90056.972
DEU,Germany,Megawatt (MW),2023,88934.0
SAU,Saudi Arabia,Megawatt (MW),2023,88690.37
SSA,Sub-Saharan Africa,Megawatt (MW),2023,82239.94
IRN,"Iran, Islamic Rep. of",Megawatt (MW),2023,78737.0
IDN,Indonesia,Megawatt (MW),2023,77853.03
MEX,Mexico,Megawatt (MW),2023,64909.5
ITA,Italy,Megawatt (MW),2023,57284.374
EGY,"Egypt, Arab Rep. of",Megawatt (MW),2023,53359.8
AUS,Australia,Megawatt (MW),2023,50820.0
TUR,"Türkiye, Rep. of",Megawatt (MW),2023,47420.199
ZAF,South Africa,Megawatt (MW),2023,47044.4
THA,Thailand,Megawatt (MW),2023,45389.0
GBR,United Kingdom,Megawatt (MW),2023,42669.715
TWN,Taiwan Province of China,Megawatt (MW),2023,41584.715
ESP,Spain,Megawatt (MW),2023,38001.297
VNM,Vietnam,Megawatt (MW),2023,36762.0
CAN,Canada,Megawatt (MW),2023,35176.9
ARE,United Arab Emirates,Megawatt (MW),2023,33512.0
POL,"Poland, Rep. of",Megawatt (MW),2023,32853.25
